genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan
82,182,108,1,18,3,3,62
82,175,76,1,22,7,1,60
82,165,65,1,21,5,3,66
82,188,77,1,21,4,1,67
82,194,64,3,22,3,1,90
82,184,72,4,6,7,1,106
82,172,60,1,9,7,4,71
82,196,81,1,21,2,2,70
82,194,78,1,7,9,2,75
82,160,102,2,8,5,2,80
82,196,72,1,5,8,3,76
82,174,90,3,2,0,3,102
82,194,75,0,10,6,2,68
82,184,92,1,21,9,2,57
82,174,74,2,5,5,3,80
82,177,101,1,2,6,3,77
82,172,88,1,13,8,2,63
82,163,75,2,22,8,3,64
82,179,84,1,6,0,2,78
82,185,70,2,19,1,1,81
82,167,74,1,12,7,1,71
82,176,76,0,1,9,2,71
82,184,67,3,20,4,4,79
82,186,84,2,7,5,3,77
82,185,88,2,6,7,2,83
82,169,77,1,5,5,2,73
82,183,97,2,18,4,2,75
82,188,88,2,11,9,2,80
82,177,84,3,3,7,3,87
82,177,62,3,12,9,3,89
82,178,70,2,19,1,1,86
82,171,88,3,11,9,1,85
82,200,110,2,8,9,1,80
82,170,89,2,12,1,3,80
82,182,73,2,10,8,1,83
82,177,69,1,9,6,2,78
82,208,76,2,5,8,2,91
82,189,86,1,13,7,3,67
82,175,71,2,5,0,1,94
82,185,92,1,1,9,1,74
82,163,73,1,13,3,2,64
82,178,64,1,6,9,2,82
82,168,93,1,22,2,1,69
82,189,96,3,18,4,1,86
82,197,88,3,16,8,3,80
82,172,94,3,13,4,1,94
82,180,74,3,13,4,3,90
82,188,65,1,0,2,5,77
82,199,71,1,15,8,2,75
82,177,105,1,17,8,2,60
82,172,71,2,15,9,3,74
82,200,74,2,4,8,2,87
82,205,69,1,1,8,4,75
82,190,66,2,19,4,3,81
82,174,79,2,3,6,4,76
82,178,66,2,2,9,2,83
82,165,97,1,11,8,4,57
82,174,98,2,2,4,3,78
82,168,66,1,0,8,2,81
82,183,63,1,4,1,2,86
82,194,90,1,13,7,2,73
82,183,85,1,0,5,2,84
82,195,101,0,20,6,2,56
82,187,81,1,1,8,1,79
82,204,95,3,6,8,2,92
82,168,93,1,0,7,2,70
82,183,76,1,2,6,2,81
82,167,75,1,11,10,2,62
82,187,79,0,0,8,2,74
82,199,84,2,18,1,2,80
82,194,82,1,17,5,3,69
82,192,69,1,0,3,3,87
82,156,94,0,19,5,3,50
82,209,86,2,17,5,3,74
82,168,81,1,15,3,1,70
82,182,82,1,7,9,2,75
82,214,68,2,10,3,4,82
82,174,111,1,17,4,2,64
82,175,81,2,0,1,3,87
82,179,95,1,15,1,3,70
82,163,100,2,18,4,3,66
82,174,98,2,2,8,3,83
82,196,72,1,0,5,3,82
82,162,84,2,19,4,3,73
82,212,92,1,12,1,5,72
82,194,85,1,14,9,1,74
82,190,83,2,17,1,4,77
82,161,96,2,13,7,2,68
82,180,63,3,14,3,3,88
82,190,71,1,0,0,3,85
82,167,71,2,16,7,3,67
82,171,85,2,4,6,3,76
82,182,68,3,7,8,2,92
82,184,80,1,15,7,4,62
82,165,80,2,3,9,2,79
82,188,81,2,4,1,2,90
82,169,86,2,14,3,3,76
82,179,72,1,7,9,2,71
82,193,112,2,4,7,2,84
82,184,71,0,9,6,2,69
82,182,65,1,13,5,1,74
82,181,70,1,3,8,3,78
82,168,97,1,14,5,1,68
82,170,108,1,4,5,2,74
82,193,83,2,0,8,3,81
82,196,76,2,3,9,2,88
82,176,68,1,19,7,1,70
82,175,63,0,18,4,2,65
82,182,83,2,22,5,3,73
82,179,90,1,17,2,2,68
82,189,75,2,7,5,3,84
82,186,66,2,17,0,2,80
82,183,72,2,22,9,5,69
82,179,63,2,11,6,1,86
82,178,80,0,16,3,2,62
82,180,65,2,17,5,3,79
82,163,73,3,15,6,2,90
82,199,89,2,11,9,2,77
82,174,64,2,19,0,3,83
82,178,97,3,20,6,1,87
82,207,90,2,8,7,1,92
82,198,95,1,8,8,3,71
82,189,88,1,2,1,3,79
82,173,99,3,9,9,2,83
82,190,91,1,0,3,2,83
82,179,93,2,9,9,3,76
82,207,90,2,0,1,2,99
82,185,76,2,3,8,3,77
82,196,78,0,15,7,2,63
82,174,74,2,13,5,3,81
82,192,75,1,12,6,3,70
82,176,67,1,19,6,3,59
82,175,109,0,16,8,2,51
82,202,70,1,22,1,3,70
82,172,74,1,18,8,3,63
82,210,86,3,4,6,2,97
82,188,79,1,9,9,1,73
82,187,70,1,0,5,1,85
82,161,72,2,10,5,3,74
82,197,76,2,11,1,2,86
82,167,80,1,11,9,1,69
82,194,76,2,19,9,1,78
82,183,101,3,0,9,3,94
82,182,81,1,22,2,2,64
82,179,90,1,1,5,1,82
82,179,79,1,20,0,1,74
82,173,67,1,0,8,3,79
82,178,72,3,8,7,3,90
82,170,75,1,4,1,3,81
82,176,63,1,14,9,4,61
82,176,65,1,17,3,3,67
82,180,73,1,18,2,3,71
82,196,94,2,3,6,4,76
82,187,92,1,22,8,2,61
82,186,96,2,14,9,2,70
82,161,78,3,16,3,2,87
82,176,79,2,0,6,3,87
82,202,87,1,16,8,2,70
82,179,60,3,7,2,1,101
82,201,91,2,21,4,3,74
82,198,71,3,17,7,1,88
82,180,74,3,10,8,4,87
82,168,68,2,0,4,3,93
82,180,89,2,3,4,2,91
82,161,90,2,13,6,3,71
82,189,62,1,19,4,2,70
82,199,80,1,17,6,3,68
82,201,100,1,21,9,5,56
82,196,92,1,11,7,1,72
82,185,66,3,9,1,1,100
82,192,63,0,4,6,2,76
82,177,100,2,11,1,1,82
82,173,66,2,17,4,2,83
82,184,78,1,0,9,4,78
82,173,94,2,16,8,2,66
82,208,93,1,4,4,1,87
82,213,89,1,2,3,2,87
82,201,82,1,3,4,3,79
82,190,84,2,0,6,3,84
82,184,82,4,21,0,2,94
82,190,111,2,4,8,2,76
82,174,83,2,6,2,2,84
82,172,73,1,9,7,2,71
82,191,80,2,11,6,4,80
82,205,74,2,19,9,3,71
82,177,86,1,14,6,3,69
82,197,91,3,19,5,5,76
82,186,101,3,21,5,2,82
82,173,65,4,4,7,2,106
82,199,64,1,5,5,2,83
82,194,64,1,5,3,3,86
82,169,61,3,13,7,2,90
82,204,71,2,0,2,3,94
82,182,75,1,1,5,3,78
82,173,77,1,12,10,4,62
82,187,103,2,2,7,2,81
82,175,100,1,0,8,1,73
82,184,76,3,2,3,4,92
82,197,80,1,19,5,2,71
82,161,85,1,20,6,2,59
82,180,98,2,1,6,3,82
82,181,87,4,20,7,1,91
82,190,83,1,20,10,4,59
82,179,69,3,18,0,3,87
82,204,70,1,10,9,2,80
82,170,71,3,19,7,4,76
82,182,78,3,3,3,2,96
82,179,83,1,13,6,2,64
82,201,71,1,13,8,2,75
82,189,73,0,4,9,2,69
82,193,74,1,17,6,2,71
82,192,109,1,4,8,2,76
82,190,96,1,4,4,2,81
82,180,69,2,16,3,2,77
82,172,70,2,0,7,3,85
82,180,98,1,6,6,2,75
82,203,64,2,21,7,3,72
82,188,104,1,14,9,2,64
82,207,78,2,0,4,1,101
82,188,93,1,2,7,3,70
82,163,77,1,13,0,2,78
82,196,68,1,18,7,4,64
82,179,70,1,15,9,1,69
82,187,67,1,1,6,3,83
82,176,80,3,21,8,4,76
82,181,77,2,20,9,1,73
82,180,80,1,5,8,3,73
82,175,87,1,3,9,2,77
82,180,73,1,3,3,1,83
82,199,95,1,17,1,1,78
82,179,87,2,5,1,2,89
82,193,81,3,18,9,2,84
82,202,74,2,20,1,2,87
82,199,76,1,9,1,4,78
82,184,83,2,20,8,3,74
82,154,95,1,5,6,4,62
82,176,65,3,8,8,2,96
82,193,93,3,14,1,3,89
82,189,88,1,13,7,4,68
82,164,64,1,13,7,2,70
82,180,63,1,1,9,3,76
82,183,97,2,9,7,3,80
82,173,64,1,5,5,3,76
82,198,77,1,8,6,1,76
82,185,91,2,0,0,1,103
82,186,73,1,22,1,4,64
82,173,67,1,0,7,2,85
82,196,74,1,11,6,3,73
82,172,68,2,18,7,1,83
82,196,69,3,1,8,4,94
82,173,101,2,6,8,2,78
82,213,91,3,2,6,4,94
82,172,72,1,0,6,4,76
82,208,76,1,0,8,5,80
82,164,96,2,18,7,3,67
82,174,67,2,20,9,3,73
82,174,96,2,8,9,2,81
82,165,67,2,20,1,3,74
82,182,73,2,2,10,3,83
82,164,77,2,8,7,3,73
82,194,96,2,1,3,2,86
82,175,66,3,18,2,2,92
82,190,93,1,12,6,4,64
82,181,91,1,16,9,3,61
82,160,98,3,18,6,2,75
82,188,89,2,20,8,4,60
82,206,68,0,1,0,4,76
82,184,93,1,14,9,3,63
82,171,62,2,0,5,4,91
82,192,72,2,4,9,2,87
82,208,89,1,0,2,1,88
82,158,83,1,4,6,5,63
82,186,63,2,8,4,3,82
82,188,92,1,12,9,2,68
82,183,82,2,1,5,3,87
82,183,83,0,3,3,1,78
82,192,86,1,0,5,3,82
82,194,88,1,19,4,2,67
82,189,83,2,1,0,3,91
82,168,61,0,16,0,3,62
82,194,73,2,22,4,3,72
82,193,100,2,0,8,3,88
82,208,92,2,8,4,1,86
82,183,85,3,12,6,1,91
82,180,66,2,15,6,2,81
82,184,92,1,21,7,3,62
82,196,63,1,20,5,1,70
82,187,93,1,19,4,2,64
82,188,92,3,18,3,3,81
82,184,85,1,9,9,3,69
82,207,86,1,9,8,4,72
82,185,107,0,8,9,4,54
82,175,83,1,4,3,1,78
82,191,79,1,19,8,3,63
82,168,93,2,6,6,2,83
82,170,68,1,6,3,4,68
82,188,72,2,0,4,4,92
82,180,65,0,0,8,4,69
82,181,94,1,2,7,1,80
82,188,87,3,21,0,3,82
82,168,86,2,14,1,4,73
82,189,84,3,16,8,3,84
82,173,70,1,16,2,2,69
82,163,87,2,2,7,3,75
82,194,69,2,7,7,3,90
82,172,97,2,7,7,2,77
82,175,95,1,3,6,3,73
82,189,70,1,21,6,3,68
82,179,71,2,10,7,1,87
82,177,91,1,21,8,3,60
82,189,84,3,9,8,1,94
82,184,61,1,19,9,2,70
82,170,84,1,8,9,4,62
82,168,70,2,19,3,2,80
82,181,80,2,9,7,2,86
82,177,95,2,2,4,2,83
82,186,84,1,22,4,3,66
82,185,79,2,9,6,2,84
82,164,65,1,3,3,2,76
82,193,74,1,21,4,3,63
82,172,62,2,9,8,1,85
82,167,94,1,2,8,2,71
82,160,75,1,18,8,2,64
82,172,83,1,9,6,3,68
82,183,80,1,1,6,1,81
82,192,68,1,11,5,2,81
82,177,78,2,8,1,3,81
82,183,77,3,0,1,2,101
82,163,80,2,12,3,3,77
82,174,87,2,18,8,2,67
82,174,90,1,13,9,2,60
82,189,91,1,20,4,3,66
82,157,79,1,16,8,3,57
82,180,65,1,4,4,4,72
82,173,73,1,9,1,1,82
82,168,70,3,0,5,4,93
82,167,67,2,0,8,1,87
82,186,71,3,3,2,2,106
82,193,76,2,15,9,1,83
82,201,82,3,13,8,4,81
82,176,82,1,7,7,3,71
82,175,71,1,7,2,2,80
82,199,83,1,2,8,3,76
82,188,64,1,10,8,3,73
82,195,100,2,4,9,3,76
82,192,97,1,18,6,1,67
82,168,94,1,14,3,2,62
82,172,62,1,1,7,1,83
82,208,94,1,10,6,3,70
82,163,70,3,4,6,3,93
82,180,70,1,17,6,3,63
82,185,91,1,1,7,2,81
82,182,71,0,9,8,3,64
82,192,78,3,15,10,2,91
82,184,93,4,16,8,2,91
82,186,68,2,0,3,2,99
82,170,67,1,12,2,2,77
82,189,70,1,0,6,2,82
82,164,69,1,12,5,1,75
82,188,93,1,12,4,2,67
82,180,69,0,9,3,1,73
82,178,87,1,19,4,2,67
82,182,60,3,5,6,1,100
82,194,81,2,0,10,2,94
82,185,101,2,7,9,3,81
82,186,91,2,15,5,3,76
82,168,90,3,21,7,4,69
82,193,78,3,8,5,2,92
82,173,66,2,1,7,2,88
82,155,75,1,18,5,3,62
82,174,84,1,6,1,3,72
82,162,63,1,20,9,1,64
82,193,87,1,10,2,3,79
82,162,77,2,19,3,4,75
82,186,87,1,12,7,3,65
82,183,64,2,2,9,4,79
82,197,86,2,22,2,4,76
82,193,82,1,0,9,2,80
82,187,80,0,8,7,2,68
82,167,96,1,1,5,3,73
82,189,75,2,4,3,1,88
82,193,74,1,12,8,2,71
82,197,85,1,18,4,4,62
82,177,73,2,13,8,1,84
82,183,73,3,0,6,2,98
82,160,71,2,16,5,3,77
82,189,74,1,1,0,2,86
82,169,83,1,17,6,1,66
82,198,91,3,14,7,2,88
82,180,86,1,21,2,2,65
82,174,71,1,7,8,2,75
82,185,67,1,1,1,3,88
82,185,65,1,12,5,4,69
82,179,95,3,15,7,4,82
82,167,64,2,9,6,1,86
82,180,79,3,9,8,2,91
82,185,95,1,14,5,4,60
82,185,89,1,20,9,2,59
82,171,92,1,6,5,1,75
82,196,75,1,13,0,2,81
82,163,76,1,14,8,2,63
82,176,82,2,6,9,1,87
82,199,66,1,17,6,2,67
82,185,89,2,10,0,3,85
82,183,85,1,0,9,2,75
82,175,78,1,6,4,2,77
82,177,69,2,0,9,2,91
82,186,89,0,3,1,2,76
82,173,70,1,0,8,4,78
82,211,63,1,1,8,2,83
82,171,73,2,4,9,4,76
82,189,95,1,14,7,1,74
82,197,81,2,17,9,4,67
82,172,98,1,10,7,4,59
82,163,71,2,21,5,3,75
82,177,77,1,16,8,2,65
82,176,103,0,21,3,1,54
82,171,75,2,14,8,3,77
82,203,73,1,1,1,3,83
82,190,61,2,12,10,4,75
82,170,71,2,10,1,2,87
82,193,64,0,10,6,2,72
82,189,74,1,0,3,1,86
82,178,96,1,10,6,3,68
82,170,74,2,5,7,2,83
82,200,65,3,2,5,4,96
82,169,97,3,17,7,3,76
82,200,86,1,6,6,1,83
82,200,94,1,13,9,2,69
82,171,77,2,20,6,2,80
82,188,84,3,12,8,4,81
82,183,69,1,1,8,5,69
82,181,67,3,10,0,2,101
82,178,78,3,3,8,4,85
82,180,106,2,13,3,4,72
82,182,73,2,8,6,3,80
82,156,73,1,0,8,4,69
81,175,91,1,0,3,2,82
81,181,78,3,1,5,2,101
81,186,86,1,5,6,3,72
81,197,94,1,3,5,3,79
81,181,66,0,22,6,2,57
81,182,62,2,8,6,2,89
81,159,90,2,22,3,3,62
81,199,70,2,11,4,2,93
81,196,67,2,20,1,2,78
81,188,71,2,2,10,4,84
81,195,86,1,20,6,2,64
81,191,99,0,17,5,4,51
81,171,76,0,8,9,3,59
81,201,60,3,9,6,1,96
81,203,82,1,2,7,1,81
81,186,68,2,1,5,3,89
81,200,64,3,15,2,3,92
81,194,72,2,12,7,4,72
81,200,66,1,15,8,3,63
81,202,70,1,13,9,2,70
81,196,70,1,8,6,2,81
81,189,97,2,1,6,4,83
81,207,95,0,13,9,2,61
81,190,79,0,7,2,2,75
81,156,97,2,13,10,3,69
81,184,70,1,22,5,4,60
81,186,88,1,4,8,3,69
81,196,76,2,15,6,3,71
81,176,84,2,13,9,2,76
81,177,98,1,4,5,3,69
81,184,80,3,2,5,3,92
81,182,86,1,15,4,1,69
81,180,70,2,8,5,2,84
81,166,80,2,19,3,3,69
81,178,74,0,9,2,2,69
81,200,108,3,16,6,2,91
81,194,106,2,10,7,3,71
81,187,84,2,11,8,3,71
81,196,69,1,9,9,1,76
81,165,72,1,0,8,3,71
81,190,63,1,18,8,2,69
81,182,76,0,13,3,2,65
81,194,61,2,0,6,2,98
81,162,74,2,15,8,3,71
81,195,96,3,6,8,2,98
81,186,71,2,13,5,2,78
81,199,104,1,7,2,2,76
81,188,100,2,10,7,2,73
81,166,61,2,18,8,3,73
81,183,75,3,22,6,2,83
81,182,70,2,11,9,1,81
81,197,100,1,20,4,3,55
81,193,68,1,18,4,2,74
81,160,92,1,14,7,3,62
81,207,74,1,15,0,1,79
81,208,100,2,19,7,2,72
81,185,72,1,15,8,1,75
81,190,76,1,15,8,2,69
81,162,77,2,2,9,2,80
81,199,80,1,1,2,3,79
81,172,99,2,17,6,3,66
81,185,62,3,4,5,3,96
81,165,72,1,14,1,2,72
81,173,76,1,19,7,2,57
81,184,79,2,12,4,2,83
81,162,71,2,1,9,4,81
81,205,77,2,0,6,1,91
81,196,63,1,18,8,2,65
81,178,112,1,5,4,5,68
81,173,69,2,10,5,2,81
81,180,66,1,14,8,3,66
81,172,88,1,16,0,3,64
81,171,73,3,10,8,1,88
81,186,63,1,6,7,2,83
81,205,63,1,5,3,2,85
81,183,109,2,17,4,4,67
81,191,63,1,3,5,3,78
81,207,78,2,1,8,2,90
81,177,81,1,18,3,2,69
81,195,78,1,10,0,1,84
81,178,75,3,4,8,4,86
81,182,65,2,14,0,1,90
81,183,67,1,4,0,2,82
81,195,109,1,5,7,2,68
81,196,88,1,0,9,2,76
81,170,62,3,22,0,3,87
81,187,76,1,1,8,4,75
81,192,98,3,0,9,1,99
81,178,97,1,6,7,2,76
81,172,88,2,6,8,1,77
81,197,71,2,1,7,3,90
81,185,90,2,16,0,3,84
81,176,86,1,19,9,2,58
81,186,84,1,17,10,4,54
81,196,72,2,16,1,2,88
81,186,61,2,22,9,1,77
81,198,69,2,0,5,2,90
81,185,74,2,14,7,2,78
81,174,65,2,2,9,3,90
81,179,94,1,20,2,1,67
81,177,90,1,8,5,2,66
81,181,86,1,1,4,4,78
81,195,76,2,20,3,1,76
81,179,77,1,4,5,3,76
81,193,91,1,22,6,4,55
81,184,65,3,3,4,2,107
81,198,67,2,4,9,3,81
81,181,78,1,17,8,4,56
81,186,95,4,3,9,3,94
81,183,69,2,19,2,3,77
81,178,72,1,12,9,1,71
81,172,66,1,1,3,2,87
81,188,63,1,0,8,2,80
81,184,76,1,0,9,2,75
81,198,62,1,17,7,2,73
81,174,67,3,9,9,2,90
81,189,77,1,3,3,2,78
81,188,81,1,0,4,3,82
81,169,104,1,3,4,2,70
81,188,96,2,19,6,3,64
81,187,64,1,2,3,2,82
81,182,97,1,19,0,2,70
81,204,88,1,13,8,3,69
81,201,72,2,12,2,5,76
81,183,73,3,18,7,2,87
81,180,85,1,12,5,4,69
81,186,62,1,11,6,3,75
81,182,86,1,0,6,3,78
81,189,94,2,22,8,3,61
81,168,67,1,16,6,2,68
81,176,82,2,15,2,4,77
81,187,73,2,19,7,3,74
81,176,87,2,13,9,4,67
81,201,68,2,11,7,3,75
81,193,68,1,7,2,1,84
81,184,77,1,18,8,2,66
81,161,79,2,17,8,1,74
81,185,63,1,16,0,1,77
81,165,76,1,20,5,4,61
81,168,99,1,13,1,1,70
81,196,81,1,12,3,4,70
81,174,69,1,0,2,4,76
81,178,86,3,7,6,3,89
81,169,69,2,17,5,2,76
81,156,70,2,7,9,2,83
81,165,90,4,22,7,2,81
81,207,84,2,12,9,4,76
81,186,94,1,13,7,1,70
81,185,106,1,6,9,2,66
81,171,73,2,0,4,2,92
81,175,79,3,1,9,2,97
81,182,72,1,8,9,3,70
81,187,99,2,10,5,2,85
81,194,61,2,8,4,1,92
81,169,88,2,21,3,3,73
81,192,82,3,11,9,2,86
81,176,101,2,14,7,3,67
81,209,86,2,16,5,2,83
81,205,69,2,13,6,3,82
81,182,77,1,0,2,2,83
81,183,99,0,10,3,2,66
81,181,76,2,18,8,3,71
81,179,89,1,14,9,4,52
81,181,83,3,21,9,2,81
81,170,92,1,2,8,2,71
81,184,83,1,0,1,2,86
81,171,89,3,6,0,3,90
81,157,84,2,18,4,2,71
81,190,78,1,0,5,2,78
81,165,70,2,12,0,3,78
81,183,77,2,18,7,3,68
81,200,64,1,9,3,1,83
81,198,103,1,18,9,4,58
81,173,64,2,16,3,4,72
81,194,86,1,19,2,2,73
81,207,83,1,11,9,5,67
81,177,109,1,11,4,2,69
81,192,73,3,7,9,2,92
81,191,103,1,20,9,1,59
81,193,76,1,12,7,2,69
